,Name,Position,Team,Salary,Year
354,Jamal Crawford, SG,Phoenix Suns,"$1,512,601",2019
355,Georges Niang, SF,Utah Jazz,"$1,512,601",2019
356,Vince Carter, SF,Atlanta Hawks,"$1,512,601",2019
357,Sviatoslav Mykhailiuk, SG,Los Angeles Lakers,"$1,487,694",2019
358,Mitchell Robinson, C,New York Knicks,"$1,485,440",2019
359,Ivan Rabb, PF,Memphis Grizzlies,"$1,378,242",2019
360,Tyler Dorsey, SG,Memphis Grizzlies,"$1,378,242",2019
361,Dwayne Bacon, SG,Charlotte Hornets,"$1,378,242",2019
362,Dakari Johnson, C,Memphis Grizzlies,"$1,378,242",2019
363,Thomas Bryant, C,Washington Wizards,"$1,378,242",2019
364,Wesley Iwundu, SF,Orlando Magic,"$1,378,242",2019
365,Royce O'Neale, SF,Utah Jazz,"$1,378,242",2019
366,David Stockton, G,Utah Jazz,"$1,378,242",2019
367,Daniel Theis, PF,Boston Celtics,"$1,378,242",2019
368,Jaylen Adams, PG,Atlanta Hawks,"$1,378,242",2019
369,Jabari Bird, G,Atlanta Hawks,"$1,349,464",2019
370,Alfonzo McKinnie, SF,Golden State Warriors,"$1,349,383",2019
371,Ryan Arcidiacono, PG,Chicago Bulls,"$1,349,383",2019
372,Ben Moore, PF,San Antonio Spurs,"$1,349,383",2019
373,Tyrone Wallace, SG,LA Clippers,"$1,349,383",2019
374,Monte Morris, PG,Denver Nuggets,"$1,349,383",2019
375,Daniel Hamilton, G,Atlanta Hawks,"$1,349,383",2019
376,Tyson Chandler, C,Phoenix Suns,"$1,333,140",2019
377,Shaquille Harrison, PG,Chicago Bulls,"$1,311,265",2019
378,Elie Okobo, PG,Phoenix Suns,"$1,238,464",2019
379,Jalen Brunson, PG,Dallas Mavericks,"$1,230,000",2019
380,Okaro White, F,Washington Wizards,"$1,187,862",2019
381,Joakim Noah, C,Memphis Grizzlies,"$1,093,858",2019
382,Melvin Frazier Jr., SG,Orlando Magic,"$1,050,000",2019
383,Eric Moreland, C,Phoenix Suns,"$1,042,584",2019
384,Nick Young, G,Denver Nuggets,"$1,042,584",2019
385,Isaac Bonga, PG,Los Angeles Lakers,"$1,000,000",2019
386,Devonte' Graham, PG,Charlotte Hornets,"$988,464",2019
387,De'Anthony Melton, PG,Phoenix Suns,"$949,000",2019
388,Ron Baker, G,Washington Wizards,"$948,580",2019
389,Austin Rivers, PG,Washington Wizards,"$922,943",2019
390,Chasson Randle, PG,Washington Wizards,"$869,094",2019
391,Jevon Carter, PG,Memphis Grizzlies,"$838,464",2019
392,Chimezie Metu, PF,San Antonio Spurs,"$838,464",2019
393,Hamidou Diallo, SG,Oklahoma City Thunder,"$838,464",2019
394,Gary Trent Jr., SG,Portland Trail Blazers,"$838,464",2019
395,Bruce Brown, SG,Detroit Pistons,"$838,464",2019
396,Alize Johnson, PF,Indiana Pacers,"$838,464",2019
397,Brad Wanamaker, PG,Boston Celtics,"$838,464",2019
398,Patrick McCaw, SG,Toronto Raptors,"$777,665",2019
399,Kenneth Faried, PF,Brooklyn Nets,"$683,661",2019
400,Brandon Goodwin, PG,Denver Nuggets,"$630,032",2019
401,Gary Clark, PF,Houston Rockets,"$569,873",2019
402,Wesley Matthews, SG,New York Knicks,"$512,746",2019
403,Salah Mejri, C,Dallas Mavericks,"$512,746",2019
404,Nik Stauskas, SG,Portland Trail Blazers,"$504,200",2019
405,Jeremy Lin, PG,Toronto Raptors,"$487,109",2019
406,Malcolm Miller, SF,Toronto Raptors,"$457,418",2019
407,Chris Boucher, PF,Toronto Raptors,"$457,418",2019
408,Danuel House Jr., SF,Houston Rockets,"$116,224",2019
409,Stephen Curry, PG,Golden State Warriors,"$37,457,154",2018
410,Blake Griffin, PF,LA Clippers,"$32,088,932",2018
